@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute shellData-1 numeric
@attribute shellData-2 numeric
@attribute shellData-3 numeric
@attribute shellData-4 numeric
@attribute shellData-5 numeric
@attribute shellData-6 numeric
@attribute shellData-7 numeric
@attribute shellData-8 numeric
@attribute shellData-9 numeric
@attribute shellData-10 numeric
@attribute shellData-11 numeric
@attribute shellData-12 numeric

@data
241,'2017/08/16 15:51:24:838',5,11.361329,1.228143,7.640741,7.575323,2.808598,2.827881,23.480701,6.058665,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
242,'2017/08/16 15:51:24:927',5,11.368181,1.229907,7.645044,7.578204,2.807036,2.824069,23.494993,6.058406,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
243,'2017/08/16 15:51:24:970',5,11.373345,1.228996,7.648627,7.580404,2.807981,2.822697,23.509218,6.056507,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
244,'2017/08/16 15:51:25:006',5,11.373184,1.231023,7.65207,7.582139,2.814325,2.827124,23.526857,6.052893,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
245,'2017/08/16 15:51:25:039',5,11.37541,1.22892,7.654286,7.583007,2.814929,2.826097,23.544668,6.049398,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
246,'2017/08/16 15:51:25:067',5,11.374904,1.225259,7.652241,7.579606,2.816821,2.825964,23.561031,6.046546,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
247,'2017/08/16 15:51:25:111',5,11.369861,1.229915,7.613474,7.540974,2.825164,2.832496,23.568682,6.051545,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
248,'2017/08/16 15:51:25:147',5,11.368548,1.2343,7.578261,7.506301,2.836361,2.842176,23.575045,6.055895,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
249,'2017/08/16 15:51:25:189',5,11.368061,1.232106,7.559301,7.485347,2.845648,2.850253,23.583857,6.056746,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
250,'2017/08/16 15:51:25:236',5,11.374228,1.233833,7.54963,7.474171,2.858661,2.861685,23.590414,6.057595,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
251,'2017/08/16 15:51:25:265',5,11.373345,1.241435,7.548941,7.472277,2.85971,2.861646,23.59782,6.056385,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
252,'2017/08/16 15:51:25:292',5,11.37716,1.247925,7.546803,7.46859,2.868264,2.869193,23.604702,6.056313,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
253,'2017/08/16 15:51:25:328',5,11.378524,1.247154,7.54644,7.467919,2.863551,2.864142,23.617155,6.054028,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
254,'2017/08/16 15:51:25:378',5,11.371507,1.253109,7.545154,7.467804,2.86844,2.869611,23.623905,6.051413,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
255,'2017/08/16 15:51:25:417',5,11.375594,1.256761,7.544523,7.46858,2.863122,2.864733,23.62892,6.052111,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
256,'2017/08/16 15:51:25:455',5,11.368538,1.263074,7.544131,7.469416,2.871657,2.873693,23.631512,6.051664,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
257,'2017/08/16 15:51:25:486',5,11.373847,1.265939,7.543947,7.470119,2.872246,2.874548,23.635023,6.051466,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
258,'2017/08/16 15:51:25:516',5,11.380553,1.267365,7.552684,7.480247,2.86644,2.869362,23.640171,6.05044,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
259,'2017/08/16 15:51:25:545',5,11.380232,1.270341,7.558707,7.48807,2.864043,2.867748,23.642435,6.050405,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
260,'2017/08/16 15:51:25:626',5,11.374105,1.277351,7.562109,7.493458,2.864454,2.86877,23.641514,6.051166,0.398483,0.278485,0.527512,0.026115,0.23983,0.102502,0.818026,0.842654,0.140257,0.040625,0.058005,0.44901
